usdprice,commodity,date,unit
0.2239,Maize (yellow),2000-01-15,KG
0.4407,Rice (high quality),2000-01-15,KG
0.3331,Wheat flour,2000-01-15,KG
0.2762,Maize (yellow),2000-01-15,KG
0.5002,Rice (high quality),2000-01-15,KG
0.4733,"Rice (ordinary, second quality)",2000-01-15,KG
0.4304,Wheat flour,2000-01-15,KG
0.2266,Maize (yellow),2000-02-15,KG
0.5392,Rice (high quality),2000-02-15,KG
0.4367,Rice (high quality),2000-02-15,KG
0.4122,"Rice (ordinary, second quality)",2000-02-15,KG
0.318,Wheat flour,2000-02-15,KG
0.4194,Sugar (white),2000-02-15,KG
0.4944,Rice (high quality),2000-02-15,KG
0.4664,"Rice (ordinary, second quality)",2000-02-15,KG
0.4297,Wheat flour,2000-02-15,KG
0.4266,Sugar (white),2000-02-15,KG
0.2376,Maize (yellow),2000-03-15,KG
0.5364,Rice (high quality),2000-03-15,KG
0.4407,Rice (high quality),2000-03-15,KG
0.3024,Wheat flour,2000-03-15,KG
0.3955,Sugar (white),2000-03-15,KG
0.2628,Maize (yellow),2000-03-15,KG
0.4681,"Rice (ordinary, second quality)",2000-03-15,KG
0.4303,Wheat flour,2000-03-15,KG
0.4244,Sugar (white),2000-03-15,KG
0.2599,Maize (white),2000-04-15,KG
0.2243,Maize (yellow),2000-04-15,KG
0.5289,Rice (high quality),2000-04-15,KG
0.4599,Rice (high quality),2000-04-15,KG
0.4378,"Rice (ordinary, second quality)",2000-04-15,KG
0.2909,Wheat flour,2000-04-15,KG
0.3894,Sugar (white),2000-04-15,KG
0.2595,Maize (yellow),2000-04-15,KG
0.5065,Rice (high quality),2000-04-15,KG
0.4124,Sugar (white),2000-04-15,KG
0.2536,Maize (white),2000-05-15,KG
0.5122,Rice (high quality),2000-05-15,KG
0.4485,Rice (high quality),2000-05-15,KG
0.2819,Wheat flour,2000-05-15,KG
0.4884,Rice (high quality),2000-05-15,KG
0.4585,"Rice (ordinary, second quality)",2000-05-15,KG
0.4151,Wheat flour,2000-05-15,KG
0.4107,Sugar (white),2000-05-15,KG
0.244,Maize (white),2000-06-15,KG
0.2294,Maize (yellow),2000-06-15,KG
0.439,Rice (high quality),2000-06-15,KG
0.2828,Wheat flour,2000-06-15,KG
0.4529,Sugar (white),2000-06-15,KG
0.2555,Maize (yellow),2000-06-15,KG
0.4411,"Rice (ordinary, second quality)",2000-06-15,KG
0.451,Sugar (white),2000-06-15,KG
0.2382,Maize (white),2000-07-15,KG
0.2223,Maize (yellow),2000-07-15,KG
0.4258,Rice (high quality),2000-07-15,KG
0.2918,Wheat flour,2000-07-15,KG
0.2457,Maize (yellow),2000-07-15,KG
0.4326,"Rice (ordinary, second quality)",2000-07-15,KG
0.3971,Wheat flour,2000-07-15,KG
0.4555,Sugar (white),2000-07-15,KG
0.2032,Maize (white),2000-08-15,KG
0.2021,Maize (yellow),2000-08-15,KG
0.454,Rice (high quality),2000-08-15,KG
0.3987,Rice (high quality),2000-08-15,KG
0.2951,Wheat flour,2000-08-15,KG
0.455,Sugar (white),2000-08-15,KG
0.2459,Maize (yellow),2000-08-15,KG
0.444,Rice (high quality),2000-08-15,KG
0.4177,"Rice (ordinary, second quality)",2000-08-15,KG
0.3956,Wheat flour,2000-08-15,KG
0.1731,Maize (white),2000-09-15,KG
0.1915,Maize (yellow),2000-09-15,KG
0.454,Rice (high quality),2000-09-15,KG
0.3828,Rice (high quality),2000-09-15,KG
0.293,Wheat flour,2000-09-15,KG
0.4304,Rice (high quality),2000-09-15,KG
0.4056,"Rice (ordinary, second quality)",2000-09-15,KG
0.4751,Sugar (white),2000-09-15,KG
0.169,Maize (white),2000-10-15,KG
0.1827,Maize (yellow),2000-10-15,KG
0.4615,Rice (high quality),2000-10-15,KG
0.3959,Rice (high quality),2000-10-15,KG
0.382,"Rice (ordinary, second quality)",2000-10-15,KG
0.2321,Maize (yellow),2000-10-15,KG
0.4846,Sugar (white),2000-10-15,KG
0.1883,Maize (white),2000-11-15,KG
0.2123,Maize (yellow),2000-11-15,KG
0.4262,Rice (high quality),2000-11-15,KG
0.4112,"Rice (ordinary, second quality)",2000-11-15,KG
0.3155,Wheat flour,2000-11-15,KG
0.4887,Sugar (white),2000-11-15,KG
0.2543,Maize (yellow),2000-11-15,KG
0.4556,Rice (high quality),2000-11-15,KG
0.4308,"Rice (ordinary, second quality)",2000-11-15,KG
0.4084,Wheat flour,2000-11-15,KG
0.506,Sugar (white),2000-11-15,KG
0.2127,Maize (yellow),2000-12-15,KG
0.4664,Rice (high quality),2000-12-15,KG
